,C3L-00928-03,C3L-01032-01,C3L-01598-02,C3L-01971-02,C3L-04853-01,C3N-00302-02,C3N-01167-01,C3N-02696-02-2,C3N-03000-02,C3N-03853-02,C3N-04282-01,C3L-02606-02,C3L-03639-03,C3L-03743-01,C3N-02696-02,C3N-04284-01
ENSG00000188566.14,304,493,215,269,240,333,658,386,228,172,206,315,336,400,513,193
ENSG00000188573.8,19,2,19,56,4,16,17,24,9,31,7,19,1,18,81,15
ENSG00000188580.15,9,17,14,109,17,15,11,26,40,107,12,207,5,122,23,22
ENSG00000188581.9,0,0,0,0,0,1,0,0,2,1,1,1,2,0,1,1
ENSG00000188582.10,0,5,1,1,0,18,0,2,3,0,1,4,2,26,2,2
ENSG00000188585.9,2,0,5,3,2,12,2,2,2,0,1,0,0,0,3,0
ENSG00000188596.11,152,138,320,157,593,525,169,173,327,256,141,73,374,224,212,61
ENSG00000188599.17,49,87,40,52,72,60,139,43,70,70,61,39,55,53,38,32
ENSG00000188603.22,87,88,96,68,81,83,125,212,60,70,71,74,64,68,177,64
ENSG00000188610.12,24,31,27,31,65,71,70,25,18,29,47,19,102,40,28,25
ENSG00000188611.16,54,47,107,28,49,114,189,83,76,44,121,6,109,133,93,54
ENSG00000188612.12,2975,1852,3091,2798,3716,5464,4111,2598,4555,2709,5321,3005,4060,5170,3504,2087
ENSG00000188613.7,36,29,44,108,84,93,98,145,89,70,79,34,29,230,157,82
ENSG00000188620.11,3,0,13,8,5,5,18,19,2,10,0,1,129,2,12,3
ENSG00000188624.3,85,82,63,16,17,13,61,19,87,18,43,51,21,40,9,6
ENSG00000188626.6,12,22,28,35,21,2,22,32,20,8,16,10,6,8,31,23
ENSG00000188629.13,10,21,11,10,8,22,20,19,15,4,7,4,0,9,21,4
ENSG00000188636.4,881,1290,1091,1366,1366,1223,2016,1941,1774,1156,1795,1489,993,1292,2131,1134
ENSG00000188641.14,3259,3414,4865,3510,6002,4454,2827,4960,3217,4736,13085,4711,8268,3280,5439,2395
ENSG00000188643.11,3495,3069,3136,3140,3301,3620,8707,1057,4395,2364,6788,5838,10290,3906,2374,948
ENSG00000188646.6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
ENSG00000188647.13,4033,2489,4044,6200,6011,5789,8938,6329,5541,3498,5959,3108,4686,7132,8116,5358
ENSG00000188649.15,143,248,357,249,343,316,313,674,424,148,422,155,132,556,539,222
ENSG00000188655.10,1,0,0,0,0,2,0,0,2,1,1,4,1,0,0,0
ENSG00000188656.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000188659.9,59,229,39,61,56,53,453,111,48,70,59,11,49,186,81,54
ENSG00000188660.4,4,3,11,4,1,4,5,0,6,1,1,2,2,1,7,0
ENSG00000188662.6,0,3,4,3,3,20,2,9,7,2,2,5,0,3,7,0
ENSG00000188668.4,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
ENSG00000188672.19,11,75,36,20,20,28,38,31,20,27,13,17,48,17,39,22
ENSG00000188674.11,1,0,5,2,0,0,2,0,3,0,0,2,1,0,0,0
ENSG00000188676.13,27,16,21,23,9,2,37,22,1,15,10,22,9,3,17,4
ENSG00000188677.15,456,478,755,665,667,458,777,678,773,412,799,1030,773,617,802,360
ENSG00000188681.11,143,83,48,180,69,61,62,65,92,93,51,39,85,58,87,23
ENSG00000188687.17,47,76,39,36,44,119,101,94,49,54,83,75,28,55,74,54
ENSG00000188690.15,883,1066,1221,1118,915,1077,1810,1399,1301,917,2147,909,830,1049,1648,818
ENSG00000188691.5,0,0,0,0,0,0,0,0,6,0,0,20,0,3,0,1
ENSG00000188693.8,11,13,16,17,15,11,11,31,15,8,22,7,8,16,31,8
ENSG00000188694.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000188706.13,1483,1805,1518,1324,1429,1557,5411,1309,1464,943,2490,1725,3929,1910,1509,1217
ENSG00000188707.6,301,395,448,300,652,397,719,412,452,434,801,685,875,403,629,489
ENSG00000188710.3,6,22,4,13,11,23,26,44,18,24,16,7,7,18,38,13
ENSG00000188712.4,4,12,8,10,13,33,19,36,11,10,14,3,25,10,22,14
ENSG00000188716.5,1,0,0,1,2,0,0,2,1,0,0,0,0,1,1,1
ENSG00000188725.8,1474,616,1937,1317,2031,1835,2869,1648,1886,1243,2172,774,2640,2338,2405,1330
ENSG00000188729.6,1,1,2,3,6,6,0,8,2,2,3,2,2,3,4,2
ENSG00000188730.5,4,0,5,5,6,9,8,15,2,4,2,0,0,7,16,5
ENSG00000188732.11,372,205,751,601,651,406,1405,1208,276,341,216,211,450,526,947,820
ENSG00000188735.13,475,722,489,486,368,597,741,687,432,243,512,602,594,599,671,571
ENSG00000188738.15,971,388,719,1999,1515,897,3306,1271,5354,1713,3136,709,5386,3884,2183,959
ENSG00000188739.15,36,43,35,21,45,53,105,94,49,30,44,27,63,53,86,26
ENSG00000188747.8,443,555,269,386,299,154,1034,308,140,123,271,160,289,223,602,326
