,C3L-00928-03,C3L-01032-01,C3L-01598-02,C3L-01971-02,C3L-04853-01,C3N-00302-02,C3N-01167-01,C3N-02696-02-2,C3N-03000-02,C3N-03853-02,C3N-04282-01,C3L-02606-02,C3L-03639-03,C3L-03743-01,C3N-02696-02,C3N-04284-01
ENSG00000286562.1,1,1,1,0,2,1,2,2,0,2,1,5,3,1,3,1
ENSG00000286563.1,7,4,10,19,5,14,5,14,7,1,19,4,11,15,17,15
ENSG00000286564.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000286565.1,4,16,1,1,3,9,16,21,6,7,8,3,9,5,25,24
ENSG00000286566.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000286567.1,0,0,0,1,0,1,0,0,0,0,0,0,11,1,0,0
ENSG00000286568.1,13,6,32,8,30,9,18,17,18,25,7,13,39,38,7,4
ENSG00000286569.1,2,0,0,0,0,3,14,2,0,1,2,0,1,0,1,1
ENSG00000286570.1,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0
ENSG00000286571.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000286572.1,5,12,1,2,7,6,14,9,2,3,3,4,16,4,4,5
ENSG00000286573.1,0,0,0,0,0,1,0,3,1,0,1,1,0,0,7,2
ENSG00000286575.1,12,16,17,8,12,24,12,45,11,6,11,5,1,13,20,17
ENSG00000286576.1,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,1
ENSG00000286577.1,7,9,11,10,15,10,5,12,14,7,14,4,13,15,15,8
ENSG00000286578.1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
ENSG00000286579.1,24,89,42,43,48,60,30,225,90,57,66,43,63,37,113,55
ENSG00000286580.1,0,0,2,0,3,0,3,3,3,0,0,0,0,1,5,0
ENSG00000286581.1,0,0,2,0,0,2,8,8,1,1,0,0,0,0,6,3
ENSG00000286582.1,1,0,0,0,0,0,1,1,137,0,0,90,0,28,0,19
ENSG00000286583.1,20,24,18,23,15,27,38,43,8,9,15,19,0,15,34,8
ENSG00000286584.2,96,78,79,93,84,136,99,183,122,77,115,76,80,119,135,75
ENSG00000286585.1,16,2,13,8,4,21,22,23,9,3,23,11,21,6,16,12
ENSG00000286586.1,0,2,1,1,0,0,1,3,0,0,0,0,1,2,2,2
ENSG00000286587.1,0,2,1,1,0,8,0,0,11,1,13,7,3,0,2,0
ENSG00000286588.1,168,170,152,108,129,96,144,264,170,137,105,195,135,198,189,130
ENSG00000286589.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000286590.1,1,1,2,3,4,2,5,5,1,5,1,7,3,4,7,6
ENSG00000286591.1,11,2,2,4,2,5,4,1,5,6,6,7,15,3,2,3
ENSG00000286592.1,0,2,0,7,2,15,1,6,0,1,3,5,1,3,8,0
ENSG00000286593.1,3,14,4,4,19,3,12,24,17,10,17,0,1,4,6,25
ENSG00000286594.1,0,0,1,0,0,0,1,4,0,1,0,0,0,0,0,0
ENSG00000286595.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
ENSG00000286596.1,23,11,34,11,16,20,20,4,19,14,35,20,45,46,7,1
ENSG00000286597.1,3,2,1,15,6,1,10,5,4,7,3,1,3,9,4,7
ENSG00000286598.1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
ENSG00000286599.1,108,118,245,141,260,173,243,209,181,400,344,131,241,441,191,104
ENSG00000286600.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000286601.1,4,1,6,2,3,1,6,7,7,4,2,1,0,0,9,13
ENSG00000286602.1,3,6,9,10,5,7,3,14,12,13,7,6,16,19,15,9
ENSG00000286603.1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0
ENSG00000286604.1,0,0,0,0,1,0,1,2,0,0,0,11,0,0,1,0
ENSG00000286605.1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
ENSG00000286606.1,4,4,1,4,3,14,9,7,3,3,1,5,3,9,4,3
ENSG00000286607.1,1,3,2,1,1,3,2,4,2,1,1,2,0,2,9,2
ENSG00000286608.1,17,47,40,45,29,45,75,58,34,24,42,22,44,57,69,32
ENSG00000286609.1,0,0,1,2,0,2,0,2,2,0,2,2,0,2,0,4
ENSG00000286610.1,0,0,0,1,0,0,0,3,1,0,0,0,1,0,19,0
ENSG00000286611.1,3,5,6,1,2,17,7,9,5,8,3,2,10,3,5,1
ENSG00000286612.1,1,5,11,2,3,5,4,3,6,5,3,6,1,8,3,3
ENSG00000286613.1,9,36,6,7,24,24,12,31,47,13,9,20,19,9,43,13
ENSG00000286614.1,16,55,36,17,12,63,74,30,132,18,67,62,20,18,22,33
ENSG00000286615.1,8,14,5,15,16,27,29,37,25,34,29,13,12,11,30,16
ENSG00000286616.1,137,86,159,145,141,119,148,337,206,161,140,218,90,202,247,164
ENSG00000286617.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000286618.1,16,16,36,20,20,23,13,23,39,17,51,12,19,21,62,25
ENSG00000286619.1,807,987,1238,1227,1518,813,2033,64,636,2,1,12,11,1198,49,1637
ENSG00000286620.1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
ENSG00000286621.1,0,0,0,2,2,0,1,2,0,0,0,3,0,2,1,1
ENSG00000286622.1,9,3,6,14,4,3,13,7,2,5,2,5,4,1,8,8
ENSG00000286623.1,2,3,7,1,1,3,7,2,8,7,5,1,1,4,14,4
ENSG00000286624.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000286625.1,5,0,3,0,2,1,1,10,9,0,5,1,0,2,8,0
ENSG00000286626.1,3,1,5,4,5,5,10,18,4,3,4,2,1,4,4,1
ENSG00000286627.1,151,74,122,191,174,109,68,193,200,168,169,117,206,304,147,124
ENSG00000286628.1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
ENSG00000286629.1,55,52,54,50,40,50,64,207,44,74,26,63,42,45,100,90
ENSG00000286630.1,1,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0
ENSG00000286631.1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,2,5
ENSG00000286632.1,2,4,7,6,0,11,7,12,9,6,7,2,3,2,16,7
ENSG00000286633.1,5,13,5,17,8,0,7,14,2,14,1,12,10,6,17,3
ENSG00000286634.1,72,76,96,83,65,107,163,186,85,88,76,47,61,108,139,86
ENSG00000286635.1,19,0,1,9,0,3,9,3,0,1,0,0,0,2,3,42
ENSG00000286636.1,1,6,6,8,1,5,5,3,4,1,10,5,5,1,6,1
ENSG00000286637.1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,3,3
ENSG00000286638.1,12,7,37,11,17,42,10,21,35,6,8,21,56,7,11,1
ENSG00000286639.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000286640.1,3,1,1,33,20,73,0,0,59,0,21,0,0,0,0,1
ENSG00000286641.1,1,0,0,1,0,1,2,1,0,0,0,1,0,2,0,0
ENSG00000286642.1,1,56,17,9,11,17,13,16,10,1,3,11,2,4,16,4
ENSG00000286643.1,4,1,4,2,4,1,10,5,5,0,0,0,11,2,1,2
ENSG00000286644.1,1,1,1,2,2,3,2,1,1,1,3,0,0,2,0,2
ENSG00000286645.1,2,2,2,11,3,8,9,35,4,4,2,0,1,4,13,4
ENSG00000286646.1,180,215,442,265,234,203,216,506,198,195,245,491,268,214,343,206
ENSG00000286647.1,1,6,0,7,4,4,1,5,4,2,2,1,3,0,4,2
ENSG00000286648.1,8,1,14,33,10,14,9,18,1,19,5,4,1,12,23,28
ENSG00000286649.1,51,28,37,42,42,53,26,74,63,46,43,31,68,63,80,53
ENSG00000286650.1,7,7,5,3,6,2,4,10,10,6,8,2,2,12,12,10
ENSG00000286651.2,5,8,4,11,13,4,9,33,9,19,2,12,0,0,18,14
ENSG00000286652.1,9,21,21,17,25,49,36,37,27,30,25,6,14,13,33,58
ENSG00000286653.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000286654.1,1,2,3,0,3,2,0,1,1,0,6,8,1,0,3,0
ENSG00000286655.1,79,49,63,63,68,51,101,80,77,92,100,35,79,48,85,40
ENSG00000286656.1,43,33,44,36,54,94,45,53,37,18,17,51,249,51,47,19
ENSG00000286657.1,55,31,64,46,40,49,70,135,24,53,15,67,26,66,81,64
ENSG00000286658.1,66,54,52,97,72,103,115,490,87,78,28,58,156,91,242,242
ENSG00000286659.1,3,5,7,4,4,6,4,4,5,4,1,9,10,2,10,0
ENSG00000286660.1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
ENSG00000286661.1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0
ENSG00000286662.2,2,0,61,7,0,0,70,2,7,91,16,0,1,3,0,0
ENSG00000286663.1,0,0,0,0,1,0,11,1,0,6,0,0,1,0,0,0
ENSG00000286664.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000286665.1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
ENSG00000286666.1,1,22,2,0,13,7,24,2,18,34,19,13,30,22,4,6
ENSG00000286667.1,2,2,1,0,1,4,6,0,0,0,0,4,0,0,1,1
ENSG00000286668.1,1,1,0,0,0,0,0,2,0,2,0,0,1,1,0,0
ENSG00000286669.1,0,1,0,1,1,0,2,1,1,1,2,2,2,2,1,0
ENSG00000286670.1,3,6,11,15,12,16,3,24,11,8,14,9,11,11,27,19
ENSG00000286671.1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0
ENSG00000286672.1,130,138,83,62,65,170,101,300,91,56,40,118,119,82,208,112
ENSG00000286674.1,0,0,1,1,0,0,7,1,0,0,1,0,0,1,0,0
ENSG00000286675.1,8,20,23,13,18,13,14,14,20,23,28,12,67,15,27,2
ENSG00000286676.1,38,83,46,67,39,56,82,71,53,37,48,46,48,78,71,48
ENSG00000286677.1,4,36,3,7,4,35,10,31,6,11,30,7,9,8,14,84
ENSG00000286678.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ENSG00000286679.1,8,20,2,8,5,11,18,5,34,29,14,24,34,139,12,9
ENSG00000286680.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000286681.1,30,94,23,44,32,72,106,183,92,27,59,41,26,41,146,74
ENSG00000286682.1,88,12,32,46,33,20,34,132,12,11,6,30,22,31,82,112
ENSG00000286683.1,0,2,2,2,0,1,1,9,1,1,0,1,0,2,4,1
ENSG00000286684.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000286685.1,2,2,0,2,3,0,5,4,5,1,0,1,0,5,5,2
ENSG00000286686.1,8,19,34,35,36,14,38,24,26,28,23,22,18,29,39,19
ENSG00000286687.1,4,0,1,1,0,2,0,0,0,1,0,0,6,3,1,2
ENSG00000286688.1,21,28,26,15,14,12,32,51,17,22,29,17,23,16,33,17
ENSG00000286689.1,14,67,13,13,12,38,17,85,9,21,18,11,18,7,38,37
ENSG00000286690.1,0,2,1,3,2,0,2,0,2,1,4,2,0,0,2,0
ENSG00000286691.1,4,2,1,4,2,0,4,6,2,1,12,1,0,2,1,1
ENSG00000286692.1,0,2,0,4,0,4,7,4,1,2,1,0,0,4,5,2
ENSG00000286693.1,3,0,2,15,0,3,8,16,0,5,1,0,2,4,13,10
ENSG00000286694.1,7,0,9,4,5,7,5,32,20,6,16,2,1,7,25,8
ENSG00000286695.1,2,7,11,13,5,14,8,16,2,11,3,4,2,19,8,0
ENSG00000286696.1,212,52,97,58,114,61,185,31,122,46,66,115,65,143,56,15
ENSG00000286697.1,2,0,2,0,0,4,0,0,0,0,1,0,0,2,0,0
ENSG00000286698.1,13,1,3,0,0,0,0,0,0,0,3,1,0,0,0,0
ENSG00000286699.1,189,148,208,190,129,185,318,236,177,257,185,126,92,252,177,180
ENSG00000286700.1,1,0,0,1,0,7,0,1,3,0,23,3,0,1,1,8
ENSG00000286701.1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
ENSG00000286703.1,1,1,0,1,0,0,0,2,3,0,0,3,2,1,2,1
ENSG00000286704.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000286705.1,8,19,29,20,13,36,57,30,20,20,19,9,12,12,35,17
ENSG00000286707.1,18,39,28,26,19,69,25,86,32,15,27,17,15,38,75,39
ENSG00000286708.1,29,90,29,45,24,85,88,280,50,23,29,13,31,35,161,121
ENSG00000286709.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ENSG00000286710.1,16,1,7,3,0,6,4,7,8,3,5,10,15,8,4,2
ENSG00000286711.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000286712.1,1,8,0,2,0,1,2,0,1,1,3,2,7,1,0,0
ENSG00000286713.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
ENSG00000286714.1,14,2,6,5,0,4,1,0,2,4,3,5,14,5,2,0
ENSG00000286715.1,90,74,239,183,114,117,129,648,122,93,63,166,207,65,396,269
ENSG00000286716.1,0,0,0,3,0,0,1,0,0,0,0,2,0,0,1,0
ENSG00000286717.1,0,4,9,17,0,2,9,13,4,16,1,2,1,3,8,13
ENSG00000286718.1,0,6,2,0,5,7,2,12,0,1,5,3,2,3,8,6
ENSG00000286719.1,9,11,4,2,1,0,2,2,8,6,3,5,6,24,3,16
ENSG00000286720.1,0,0,1,0,0,5,0,0,0,0,1,1,1,1,1,0
ENSG00000286721.1,8,45,29,26,31,33,35,128,23,17,41,12,18,40,66,45
ENSG00000286722.1,108,77,83,140,184,98,225,209,60,110,88,75,70,65,137,162
ENSG00000286723.1,3,5,5,4,9,4,10,50,1,1,2,4,1,5,40,5
ENSG00000286724.1,69,187,124,167,89,130,215,244,185,95,128,99,168,127,211,125
ENSG00000286725.1,0,0,1,1,0,1,1,2,0,0,0,0,0,0,2,13
ENSG00000286727.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000286728.1,1,17,2,1,0,12,7,10,0,4,6,4,27,1,2,2
ENSG00000286729.1,5,8,6,13,6,25,20,24,7,10,12,8,7,10,15,14
ENSG00000286730.1,21,18,12,21,9,21,10,44,31,19,38,19,14,16,25,9
ENSG00000286731.1,0,0,0,0,0,0,0,1,1,1,0,4,0,1,0,0
ENSG00000286732.1,5,9,7,8,7,22,2,4,1,3,8,6,4,3,0,0
ENSG00000286733.1,3,6,130,13,10,9,119,8,166,14,17,85,278,173,7,5
ENSG00000286734.1,9,8,5,234,22,18,8,55,90,7,1185,121,11,11,53,4
ENSG00000286735.1,41,68,46,48,23,115,55,101,116,38,75,87,43,46,67,39
ENSG00000286736.1,2,132,43,11,27,12,39,21,3,12,29,26,54,40,19,2
ENSG00000286737.1,12,30,2,1,2,16,23,8,3,5,0,4,29,3,6,1
ENSG00000286738.1,0,0,1,4,0,0,0,4,0,0,0,0,0,0,0,1
ENSG00000286739.1,13,5,5,1,16,16,13,4,9,5,10,6,9,25,2,3
ENSG00000286740.1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1
ENSG00000286741.1,7,8,4,2,5,2,5,6,12,5,4,16,28,17,8,1
ENSG00000286742.1,182,253,277,226,297,441,378,397,512,197,705,178,484,697,364,384
ENSG00000286743.1,1,1,2,1,0,5,5,1,3,4,1,1,3,3,0,1
ENSG00000286744.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000286745.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000286746.1,18,9,15,33,31,19,185,70,13,37,24,20,27,46,45,40
ENSG00000286747.1,1,16,2,7,5,5,11,22,4,8,11,0,11,4,18,9
ENSG00000286748.1,2,2,0,0,0,0,0,2,1,0,1,4,0,0,0,1
ENSG00000286749.1,1,0,0,1,0,5,4,2,1,0,1,0,2,2,1,4
ENSG00000286750.1,9,38,5,46,5,30,59,3,2,26,3,8,2,16,7,12
ENSG00000286751.1,1,1,1,3,0,1,3,0,2,0,4,1,25,0,0,3
ENSG00000286752.1,5,8,13,10,10,5,16,16,13,8,5,6,7,10,13,4
ENSG00000286753.1,42,81,38,41,36,56,56,93,77,38,58,31,35,40,60,59
ENSG00000286754.1,1,0,3,10,1,0,2,2,0,1,0,0,0,0,2,7
ENSG00000286755.1,9,17,10,5,6,19,12,27,10,10,19,10,6,12,23,14
ENSG00000286756.1,0,0,0,0,4,2,0,0,2,0,0,0,0,1,0,0
ENSG00000286757.2,48,40,51,43,114,103,99,134,70,41,65,38,45,29,104,95
ENSG00000286758.1,1,0,3,2,1,1,3,3,2,3,4,0,3,5,2,1
ENSG00000286759.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000286760.1,59,30,63,52,81,64,63,43,65,33,67,38,77,40,77,34
ENSG00000286761.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000286763.1,4,1,1,2,3,2,14,12,1,1,1,1,0,4,8,4
ENSG00000286764.1,0,1,2,0,1,2,0,1,1,0,0,1,0,2,0,0
ENSG00000286765.1,0,1,3,0,0,0,1,0,0,0,0,0,1,0,0,0
ENSG00000286766.1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000286767.1,1,3,6,1,0,4,0,2,5,0,0,2,0,0,0,3
ENSG00000286769.1,0,0,0,0,0,0,0,0,1,0,3,4,1,0,2,0
ENSG00000286770.1,1,3,0,0,0,1,0,0,2,0,1,0,0,1,0,0
ENSG00000286771.1,125,207,234,233,168,113,152,329,155,114,162,146,191,257,261,145
ENSG00000286772.1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
ENSG00000286773.1,4,7,7,5,2,6,15,13,4,4,2,11,2,1,9,12
ENSG00000286774.1,0,1,1,2,7,2,3,2,1,1,0,0,10,2,1,0
ENSG00000286775.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000286776.1,0,0,0,2,0,0,0,2,0,0,2,0,0,1,0,2
ENSG00000286777.1,0,0,1,1,4,2,4,4,2,4,6,0,0,2,9,5
ENSG00000286778.1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ENSG00000286779.1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
ENSG00000286780.1,22,7,12,4,6,5,10,0,8,2,2,10,11,8,1,1
ENSG00000286781.1,4,10,3,14,6,6,0,8,9,3,10,4,3,5,14,13
ENSG00000286782.1,12,32,17,16,23,44,164,112,69,25,53,34,18,41,85,171
ENSG00000286784.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
ENSG00000286785.1,32,39,109,44,30,11,110,22,21,39,35,25,21,60,32,10
ENSG00000286786.1,305,219,269,295,290,263,295,598,248,277,320,178,160,345,467,310
ENSG00000286787.1,62,56,99,40,38,175,129,271,101,25,61,57,13,65,207,107
ENSG00000286788.1,5,1,8,2,0,7,4,2,5,2,5,1,3,0,2,2
ENSG00000286789.1,0,0,1,0,0,6,0,8,2,3,1,1,0,4,4,3
ENSG00000286790.1,2,10,4,1,2,4,6,16,5,8,7,1,1,11,11,7
ENSG00000286791.1,7,11,16,40,5,0,19,16,41,9,9,19,27,41,13,4
ENSG00000286792.1,0,0,0,0,0,0,0,1,0,2,0,2,1,0,1,2
ENSG00000286793.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000286794.1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1
ENSG00000286795.1,1,2,2,1,0,3,11,8,7,4,2,1,3,7,2,2
ENSG00000286796.1,15,23,22,44,87,11,62,76,6,14,13,10,14,17,59,13
ENSG00000286797.1,172,12,28,82,41,26,75,132,321,19,266,10,335,53,248,98
ENSG00000286798.1,1,1,0,0,1,0,0,0,5,0,0,0,2,0,0,0
ENSG00000286799.1,4,5,3,3,4,2,8,15,10,4,4,2,3,7,3,2
ENSG00000286800.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
ENSG00000286801.1,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0
ENSG00000286802.1,2,7,25,29,2,3,120,4,22,2,0,44,172,39,10,18
ENSG00000286803.1,37,57,42,38,26,18,68,83,76,38,52,74,62,81,62,39
ENSG00000286804.1,0,1,2,0,0,1,0,4,0,0,0,3,1,1,1,4
ENSG00000286805.1,9,14,3,4,9,14,20,34,10,8,10,3,0,4,27,22
ENSG00000286806.1,1,11,4,0,4,7,1,6,1,2,0,1,5,0,4,4
ENSG00000286807.1,0,0,0,1,0,2,0,3,0,0,0,0,1,0,2,2
ENSG00000286808.1,100,69,56,64,53,36,157,123,48,95,51,53,51,90,106,72
ENSG00000286809.1,7,8,6,8,21,8,6,50,13,4,5,29,9,6,35,13
ENSG00000286810.1,14,22,18,24,16,6,67,43,12,36,39,11,21,14,35,17
ENSG00000286811.1,16,35,21,19,21,18,23,38,52,8,31,18,85,20,16,16
ENSG00000286812.1,39,36,11,14,17,4,9,31,38,13,15,75,6,17,13,5
ENSG00000286813.1,97,92,155,106,154,62,93,306,83,80,104,107,200,77,194,133
ENSG00000286815.1,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0
ENSG00000286816.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000286817.1,1,3,3,4,0,3,9,11,1,0,6,0,1,0,7,1
ENSG00000286818.1,1,1,1,3,6,2,6,19,3,1,6,5,0,3,11,3
ENSG00000286819.1,3,2,4,0,2,1,1,2,4,0,2,0,1,3,2,0
ENSG00000286820.1,0,0,0,0,0,0,0,0,1,0,35,0,0,0,0,0
ENSG00000286821.1,1,0,2,0,0,0,0,1,0,0,0,0,0,3,0,0
ENSG00000286822.1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
ENSG00000286823.1,0,2,0,2,0,4,5,4,2,5,1,2,6,0,2,1
ENSG00000286824.1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
ENSG00000286825.1,14,32,23,19,19,28,30,87,29,14,28,16,11,8,59,27
ENSG00000286826.1,45,27,34,14,17,25,117,40,39,28,28,36,8,9,37,4
ENSG00000286827.1,3,0,1,2,1,7,0,5,2,0,0,2,0,2,0,3
ENSG00000286828.1,30,48,23,47,103,63,258,102,35,26,40,57,70,70,76,78
ENSG00000286829.1,2,2,0,0,2,2,2,5,0,0,0,0,1,1,3,0
ENSG00000286830.1,9,35,9,5,17,28,9,23,11,8,11,2,19,12,20,7
ENSG00000286831.1,12,7,7,10,16,3,13,74,4,4,1,6,29,8,52,50
ENSG00000286832.1,5,7,1,3,1,0,0,3,3,1,1,1,4,1,4,3
ENSG00000286833.1,6,10,7,11,10,22,20,18,5,10,22,4,24,11,27,18
ENSG00000286834.1,14,25,21,32,25,30,26,42,46,19,41,14,19,31,31,18
ENSG00000286835.1,11,19,21,12,16,35,24,23,12,6,11,4,16,8,14,16
ENSG00000286836.1,2,2,5,1,2,6,5,5,2,6,7,1,2,4,1,1
ENSG00000286837.1,2,3,2,4,6,8,4,12,1,1,2,2,2,7,8,2
ENSG00000286838.1,1,1,0,0,0,0,0,0,0,2,0,0,0,3,5,0
ENSG00000286839.1,0,1,4,0,1,4,0,1,2,4,26,14,5,1,1,5
ENSG00000286840.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000286841.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000286842.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000286843.1,91,65,49,91,100,56,38,77,311,38,137,183,309,87,94,43
ENSG00000286844.1,0,0,0,0,0,5,0,4,1,0,1,2,0,1,2,0
ENSG00000286845.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000286846.1,48,113,81,82,69,89,88,194,147,97,123,64,103,99,138,154
ENSG00000286847.1,0,4,5,5,16,0,17,11,9,8,6,4,5,4,14,7
ENSG00000286848.1,7,1,36,9,9,6,12,12,2,2,3,0,3,3,9,1
ENSG00000286849.1,138,72,53,118,68,37,160,121,52,88,87,111,23,82,119,55
ENSG00000286850.1,82,41,16,30,11,35,193,45,96,55,35,46,21,57,25,46
ENSG00000286851.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000286852.1,5,15,5,2,2,5,1,7,14,10,7,8,2,8,6,0
ENSG00000286853.1,1,1,0,0,0,2,0,1,1,0,0,0,1,0,3,0
ENSG00000286854.1,0,1,5,6,8,1,3,11,0,6,4,1,1,7,5,1
ENSG00000286855.1,73,68,71,173,65,113,67,108,112,57,66,62,25,84,124,46
ENSG00000286856.1,6,5,18,2,2,4,18,6,18,14,24,10,1,30,5,3
ENSG00000286857.1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0
ENSG00000286858.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000286859.1,12,24,29,44,37,29,96,33,41,41,54,23,39,46,54,37
ENSG00000286860.1,0,1,0,0,1,0,1,1,0,0,0,3,2,0,1,0
ENSG00000286861.1,48,47,31,36,43,64,43,93,36,36,20,122,40,30,71,32
ENSG00000286862.1,0,1,1,2,0,1,0,2,4,0,3,0,2,3,4,1
ENSG00000286863.1,11,14,16,132,30,32,45,56,240,21,40,42,12,37,49,14
ENSG00000286864.1,350,198,176,168,232,209,207,272,309,231,171,432,208,466,225,130
ENSG00000286865.1,65,66,55,46,28,81,54,194,110,64,44,74,106,70,103,33
ENSG00000286866.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000286867.1,0,0,0,0,0,0,3,1,1,0,0,0,2,0,0,0
ENSG00000286868.1,2,0,0,4,0,0,2,1,5,0,0,0,2,0,1,2
ENSG00000286869.1,11,7,7,3,5,5,0,3,16,5,12,3,4,19,3,3
ENSG00000286870.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000286871.1,0,0,0,0,5,0,0,0,1,0,3,0,0,0,1,1
ENSG00000286872.1,3,24,14,17,17,29,16,75,13,12,8,15,6,12,58,3
ENSG00000286873.1,22,26,30,56,52,34,59,71,40,25,41,52,13,45,64,45
ENSG00000286874.1,3,7,5,6,3,10,18,3,6,2,5,5,8,6,5,2
ENSG00000286875.1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
ENSG00000286876.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000286877.1,12,24,10,8,13,11,23,35,19,20,24,15,6,28,33,19
ENSG00000286878.1,9,31,12,17,32,7,6,27,25,13,10,26,31,16,18,7
ENSG00000286879.1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0
ENSG00000286880.1,1,0,0,3,0,0,0,1,0,2,0,0,0,1,1,0
ENSG00000286881.1,3,4,6,2,2,2,4,5,2,0,5,7,2,4,8,6
ENSG00000286882.1,70,47,57,45,66,49,38,115,75,42,85,44,67,101,93,47
ENSG00000286883.1,1,2,0,0,0,4,0,1,0,0,2,1,1,0,1,1
ENSG00000286884.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000286885.1,5,7,10,9,7,4,5,10,3,10,7,0,1,6,8,8
ENSG00000286886.1,13,23,15,9,9,8,41,30,16,8,4,12,8,18,38,9
ENSG00000286887.1,3,2,11,1,4,2,0,1,2,0,2,0,0,1,7,4
ENSG00000286888.1,6,10,6,14,4,22,9,7,4,21,2,0,21,2,4,12
ENSG00000286889.1,6,5,8,30,11,26,8,41,33,3,3,6,2,53,29,17
ENSG00000286890.1,23,35,20,14,19,147,8,41,73,37,145,42,80,34,40,15
ENSG00000286891.1,20,11,38,21,29,23,27,37,29,22,12,15,15,20,42,17
ENSG00000286892.1,11,28,81,7,39,74,38,48,12,63,128,38,5,21,38,19
